EGFP_300_mOsm_per_L,NRBP1_FL_300_mOsm_per_L,NRBP1_T232A_300_mOsm_per_L,NRBP1_T232E_300_mOsm_per_L
12,4,11,2
8,12,4,1
11,1,1,2
4,11,5,4
7,3,10,4
33,1,2,2
21,2,2,1
12,3,4,1
25,4,9,1
15,2,1,1
29,4,3,1
25,1,1,2
63,2,72,3
11,6,16,1
12,5,33,1
11,1,6,1
8,2,5,1
26,4,6,7
16,1,91,5
37,2,6,1
24,9,67,1
10,3,1,2
4,5,3,1
18,7,9,3
4,1,9,1
4,2,9,5
27,1,4,1
12,1,3,1
33,3,6,2
8,1,7,1
32,4,11,8
17,1,10,1
29,2,16,3
7,2,3,1
5,3,11,1
11,3,13,2
15,7,11,2
20,2,24,1
11,1,12,3
5,9,3,4
21,10,5,2
61,1,1,1
7,1,6,4
22,3,5,1
7,4,1,4
21,10,21,2
11,2,1,1
36,3,28,1
66,2,4,1
25,2,4,11
36,1,12,2
35,3,29,2
10,1,21,2
19,6,1,4
7,4,5,8
9,8,3,3
3,3,7,1
9,4,40,4
4,2,5,4
15,2,3,2
2,3,15,5
19,1,5,2
30,1,7,3
22,1,7,2
6,1,3,2
40,1,5,2
4,2,2,1
4,2,3,1
6,2,4,1
9,3,3,1
11,9,10,1
15,3,7,3
12,2,2,3
3,3,5,1
24,3,1,1
5,1,5,2
13,2,8,1
33,7,4,1
42,1,2,1
6,3,8,2
20,7,5,1
12,5,6,5
6,9,1,2
6,3,6,1
3,2,6,2
23,1,14,1
12,1,3,2
3,2,1,1
22,8,3,4
31,4,7,2
18,5,4,2
10,3,1,4
1,2,4,2
18,5,9,1
3,6,5,1
18,10,1,1
10,2,2,2
1,5,10,1
22,4,1,1
3,15,11,2
36,8,11,1
17,1,9,2
10,1,1,3
20,13,1,5
16,6,2,1
25,1,3,3
25,5,9,1
14,2,2,1
15,1,29,3
1,7,30,1
22,3,3,2
20,12,7,1
5,4,7,1
8,1,2,1
20,4,21,1
6,3,3,2
23,1,2,1
5,4,2,2
26,12,1,3
29,11,2,3
9,2,2,2
12,3,1,1
4,8,11,7
4,3,1,3
26,2,2,7
23,2,2,2
7,15,13,1
15,4,7,1
19,1,22,1
26,2,17,2
40,4,1,1
15,1,1,4
25,4,2,3
8,1,5,3
38,10,8,1
1,1,4,3
16,14,3,1
56,12,12,1
24,14,17,10
7,8,1,4
11,2,10,4
5,4,11,2
17,6,31,1
13,7,1,1
18,11,17,6
26,9,6,1
23,10,7,1
20,4,2,3
15,3,21,1
4,8,19,1
10,10,25,1
13,3,4,3
12,2,14,4
53,9,28,1
4,9,6,3
25,1,5,5
8,3,33,1
18,1,38,4
8,15,1,1
26,4,6,1
2,2,3,13
23,1,2,15
3,5,6,5
3,8,37,5
3,1,33,6
12,1,1,4
22,6,9,7
1,4,20,1
9,7,30,2
4,5,6,2
1,5,17,6
5,5,24,1
22,12,5,2
10,1,3,4
11,7,3,1
9,5,2,3
6,7,22,1
37,3,9,1
7,3,33,1
13,2,18,8
22,1,30,1
7,6,9,3
13,1,1,1
8,5,30,1
15,1,2,1
13,1,2,1
14,8,13,1
17,4,15,1
48,2,6,4
4,2,2,1
9,2,7,2
17,3,12,1
12,4,9,2
1,1,14,3
6,4,4,7
14,7,15,9
22,1,23,5
16,1,2,6
3,1,14,2
28,1,18,4
21,5,7,1
26,3,1,1
54,1,12,1
6,1,7,4
11,2,9,3
27,1,10,2
11,1,20,8
2,1,24,5
12,2,17,2
4,1,3,2
10,16,6,2
15,3,16,2
18,5,1,2
27,1,30,4
21,1,8,1
20,1,1,1
46,1,15,5
48,1,26,1
40,5,1,2
26,6,1,7
12,2,1,1
2,1,8,1
17,2,12,2
7,3,1,4
3,1,11,1
10,6,1,1
7,1,1,11
3,9,2,1
20,9,8,4
5,11,1,1
12,3,3,5
17,2,1,1
15,2,1,1
6,4,1,5
10,1,2,4
5,6,2,7
17,8,1,2
13,9,2,3
11,1,1,12
13,7,4,3
13,3,1,11
10,4,6,5
14,2,4,2
22,5,10,1
11,8,5,14
14,7,10,2
9,3,2,1
2,7,7,3
4,19,8,2
23,6,9,6
16,1,1,1
10,3,11,1
11,2,5,7
21,7,27,3
23,27,7,6
32,7,8,4
4,2,10,3
10,12,7,2
13,3,2,5
22,5,4,6
2,10,4,9
6,3,18,5
13,11,2,8
11,3,6,9
8,1,14,11
9,1,13,20
12,1,8,17
44,3,3,3
17,1,9,1
18,1,2,1
11,3,9,2
20,3,11,5
6,5,9,1
36,5,5,7
4,5,9,1
13,1,3,1
13,2,33,1
17,3,7,1
6,1,5,1
8,12,11,3
6,2,6,2
20,6,9,5
11,1,25,2
9,1,13,6
8,2,2,1
7,11,12,1
23,1,17,1
2,16,31,1
5,5,4,3
4,2,7,1
29,2,11,1
2,4,2,1
13,14,1,1
25,5,4,2
17,9,8,1
6,2,17,1
25,1,36,2
16,1,1,1
26,1,1,1
19,4,2,2
6,4,2,1
23,3,15,1
11,1,5,2
16,3,2,1
5,7,18,1
23,2,6,1
7,7,1,1
2,6,2,3
1,2,1,2
23,7,15,1
20,1,1,2
22,4,4,1
14,2,51,1
23,7,39,1
8,5,1,1
28,11,74,1
17,6,1,3
10,6,18,3
12,1,1,1
19,17,1,1
1,16,11,2
7,2,4,2
10,10,23,2
19,1,16,2
35,2,5,4
25,1,2,1
15,5,5,7
19,10,1,1
21,12,3,4
8,3,24,1
15,1,4,1
22,1,1,2
1,25,36,1
23,11,12,2
13,2,3,1
6,8,2,1
28,4,14,2
29,1,14,1
7,6,4,12
10,5,2,4
19,5,1,1
4,2,7,3
3,3,2,1
3,3,16,1
8,3,2,1
18,1,3,3
14,8,13,1
20,5,17,1
6,1,5,1
4,1,1,1
5,15,17,4
28,2,3,2
13,2,7,1
31,1,6,1
9,6,3,1
9,2,10,1
6,4,4,2
17,2,7,2
41,3,1,1
22,3,11,1
26,4,3,1
20,1,11,1
19,4,22,1
10,2,1,1
17,1,15,1
50,3,11,1
7,2,11,1
4,3,8,1
14,2,4,2
20,11,2,1
11,2,5,1
4,2,12,2
22,1,1,1
9,2,6,2
4,2,11,2
32,11,23,1
16,8,4,2
10,5,9,1
15,1,9,1
4,2,7,3
11,2,6,17
2,12,11,1
2,8,13,1
34,5,13,3
12,3,2,1
12,7,4,3
8,9,18,1
26,2,12,2
3,8,12,2
9,3,43,3
13,4,5,1
10,14,20,2
4,4,7,2
2,3,6,1
17,2,5,2
5,3,6,4
16,8,13,3
11,10,2,2
23,1,5,1
9,6,1,1
9,6,16,1
4,7,2,1
8,4,28,5
6,1,12,1
13,1,8,2
7,11,13,2
4,4,1,6
10,2,22,1
14,2,13,3
14,1,2,1
17,3,18,1
15,7,29,6
15,17,2,1
17,13,29,2
37,1,5,4
3,2,20,1
2,1,3,4
2,12,13,1
1,1,6,1
2,8,5,1
12,2,35,1
12,2,18,4
11,1,41,2
4,2,3,6
7,7,12,1
25,2,25,3
12,5,21,1
22,7,17,4
14,2,22,5
6,6,12,5
9,1,2,7
15,4,16,1
6,3,5,1
5,6,39,10
10,1,24,11
8,1,6,1
9,6,4,1
21,3,68,1
1,3,3,1
5,3,21,1
5,1,9,2
2,3,16,4
6,1,21,5
29,7,40,4
4,16,13,1
10,11,17,1
22,14,12,1
55,4,11,2
9,10,10,1
1,11,5,1
27,1,2,1
6,3,16,1
3,9,5,1
12,12,2,1
6,13,19,3
20,5,3,5
3,3,8,6
14,6,4,2
17,16,1,1
5,10,1,1
5,3,16,1
10,2,17,1
7,4,3,1
11,2,6,1
8,7,14,1
4,9,1,1
19,9,3,1
4,9,1,1
4,6,3,5
62,1,3,1
6,1,16,1
7,1,18,1
25,2,23,1
28,11,2,1
6,7,4,1
16,1,1,2
7,1,3,4
3,19,1,1
24,5,1,4
12,9,3,1
30,15,19,1
7,5,5,1
21,4,3,1
6,12,3,2
9,3,12,1
13,7,5,1
23,4,1,1
5,2,2,1
10,7,9,21
8,15,23,1
15,5,11,3
5,7,7,3
11,6,6,1
11,14,7,1
5,2,9,1
5,15,1,5
6,3,1,2
13,5,9,1
18,3,2,7
27,1,5,2
26,14,2,1
5,3,9,2
6,9,11,1
15,9,11,2
22,1,4,6
11,3,1,2
41,7,7,2
18,0,11,7
8,0,8,1
28,0,4,4
8,0,8,5
9,0,6,1
19,0,13,1
5,0,63,1
2,0,8,1
6,0,5,2
14,0,17,1
8,0,1,3
3,0,4,3
24,0,2,1
22,0,6,2
2,0,2,13
53,0,16,1
3,0,8,1
15,0,2,2
3,0,4,6
14,0,1,5
30,0,1,4
3,0,31,1
4,0,1,9
13,0,1,4
9,0,1,9
9,0,24,2
10,0,1,2
7,0,11,6
2,0,16,1
24,0,2,1
13,0,48,1
12,0,4,3
5,0,28,3
16,0,9,3
19,0,6,3
21,0,3,2
7,0,16,1
4,0,22,6
4,0,5,2
17,0,21,1
24,0,2,1
25,0,21,1
4,0,11,3
17,0,8,1
9,0,7,1
12,0,0,1
2,0,0,2
31,0,0,4
23,0,0,4
5,0,0,1
17,0,0,1
12,0,0,15
16,0,0,1
25,0,0,0
7,0,0,0
7,0,0,0
1,0,0,0
1,0,0,0
36,0,0,0
20,0,0,0
8,0,0,0
20,0,0,0
12,0,0,0
12,0,0,0
21,0,0,0
18,0,0,0
21,0,0,0
6,0,0,0
31,0,0,0
15,0,0,0
9,0,0,0
3,0,0,0
7,0,0,0
10,0,0,0
6,0,0,0
10,0,0,0
5,0,0,0
10,0,0,0
8,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
4,0,0,0
7,0,0,0
32,0,0,0
21,0,0,0
23,0,0,0
18,0,0,0
13,0,0,0
22,0,0,0
19,0,0,0
6,0,0,0
14,0,0,0
12,0,0,0
9,0,0,0
23,0,0,0
8,0,0,0
21,0,0,0
7,0,0,0
6,0,0,0
17,0,0,0
12,0,0,0
24,0,0,0
10,0,0,0
4,0,0,0
2,0,0,0
4,0,0,0
12,0,0,0
10,0,0,0
7,0,0,0
6,0,0,0
3,0,0,0
10,0,0,0
15,0,0,0
9,0,0,0
6,0,0,0
42,0,0,0
24,0,0,0
9,0,0,0
5,0,0,0
30,0,0,0
11,0,0,0
1,0,0,0
4,0,0,0
12,0,0,0
28,0,0,0
8,0,0,0
3,0,0,0
2,0,0,0
22,0,0,0
27,0,0,0
2,0,0,0
3,0,0,0
2,0,0,0
5,0,0,0
5,0,0,0
3,0,0,0
12,0,0,0
16,0,0,0
3,0,0,0
49,0,0,0
26,0,0,0
15,0,0,0
4,0,0,0
19,0,0,0
19,0,0,0
8,0,0,0
3,0,0,0
27,0,0,0
10,0,0,0
2,0,0,0
13,0,0,0
21,,0,0
5,,0,0
6,,0,0
19,,0,0
32,,0,0
20,,0,0
9,,0,0
16,,0,0
